Symbol,Company,Sector
RELIANCE,Reliance Industries,Energy
TCS,Tata Consultancy Services,IT
INFY,Infosys,IT
HDFCBANK,HDFC Bank,Banking
ICICIBANK,ICICI Bank,Banking
KOTAKBANK,Kotak Mahindra Bank,Banking
SBIN,State Bank of India,Banking
AXISBANK,Axis Bank,Banking
LT,Larsen & Toubro,Infrastructure
ITC,ITC,FMCG
HINDUNILVR,Hindustan Unilever,FMCG
BHARTIARTL,Bharti Airtel,Telecom
ASIANPAINT,Asian Paints,Consumer
MARUTI,Maruti Suzuki,Auto
TITAN,Titan Company,Consumer
SUNPHARMA,Sun Pharma,Pharma
DRREDDY,Dr Reddy's Labs,Pharma
CIPLA,Cipla,Pharma
WIPRO,Wipro,IT
HCLTECH,HCL Technologies,IT
ULTRACEMCO,UltraTech Cement,Cement
TATASTEEL,Tata Steel,Metals
JSWSTEEL,JSW Steel,Metals
NTPC,NTPC,Power
POWERGRID,Power Grid Corp,Power
ONGC,ONGC,Energy
ADANIENT,Adani Enterprises,Conglomerate
ADANIPORTS,Adani Ports,Infrastructure
BAJAJFINSV,Bajaj Finserv,Financials
BAJFINANCE,Bajaj Finance,Financials
HDFCLIFE,HDFC Life,Insurance
SBILIFE,SBI Life,Insurance
INDUSINDBK,IndusInd Bank,Banking
DIVISLAB,Diviâ€™s Labs,Pharma
GRASIM,Grasim Industries,Cement
NESTLEIND,Nestle India,FMCG
APOLLOHOSP,Apollo Hospitals,Healthcare
BRITANNIA,Britannia Industries,FMCG
COALINDIA,Coal India,Energy
EICHERMOT,Eicher Motors,Auto
HEROMOTOCO,Hero MotoCorp,Auto
BPCL,BPCL,Energy
UPL,UPL,Chemicals
TATAMOTORS,Tata Motors,Auto
TECHM,Tech Mahindra,IT
M&M,Mahindra & Mahindra,Auto
BAJAJ-AUTO,Bajaj Auto,Auto
TATACONSUM,Tata Consumer Products,FMCG
LTIM,LTIMindtree,IT
SBICARD,SBI Cards and Payment Services,Financials
